Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
146.82000,146.22,-0.60000,123.0,"San Jose ",CA,Santa Clara,K6INC,OPEN,0.0,N
144.96250,147.4625,+2.5,,"San Jose ",CA,Santa Clara,W6OTX,OPEN,0.0,N
444.47500,449.475,+5.00000,,"San Jose ",CA,Santa Clara,W6OTX,OPEN,0.0,N
443.70000,448.7,+5.00000,186.2,"San Jose ",CA,Santa Clara,WC6HP,OPEN,0.0,W
443.90000,448.9,+5.00000,100.0,"San Jose San Jose State Univ.",CA,Santa Clara,W6YL,OPEN,0.3,SE
440.10000,445.1,+5.00000,127.3,"San Jose ",CA,Santa Clara,W6SMQ,OPEN,0.4,W
443.07500,448.075,+5.00000,123.0,"San Jose ",CA,Santa Clara,N6MVT,OPEN,0.4,W
444.62500,449.625,+5.00000,110.9,"San Jose ",CA,Santa Clara,N6NAC,OPEN,0.4,W
146.11500,146.715,+0.60000,100.0,"San Jose ",CA,Santa Clara,AA6BT,OPEN,0.4,W
146.35500,146.955,+0.60000,123.0,"San Jose ",CA,Santa Clara,KE6MON,OPEN,0.4,W
146.89500,146.295,-0.60000,110.9,"San Jose ",CA,Santa Clara,KB6FEC,OPEN,0.4,W
147.16500,147.765,+0.60000,100.0,"San Jose ",CA,Santa Clara,KB6FEC,OPEN,0.4,W
147.28500,147.885,+0.60000,103.5,"San Jose ",CA,Santa Clara,KF6FWO,OPEN,0.4,W
147.85500,147.255,-0.60000,100.0,"San Jose ",CA,Santa Clara,WA6TEM,OPEN,0.4,W
440.22500,445.225,+5.00000,123.0,"San Jose ",CA,Santa Clara,K6LLC,OPEN,0.4,W
440.27500,445.275,+5.00000,127.3,"San Jose ",CA,Santa Clara,WA6YOP,OPEN,0.4,W
440.37500,445.375,+5.00000,,"San Jose ",CA,Santa Clara,N6TNR,CLOSED,0.4,W
441.15000,446.15,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA2IBM,OPEN,0.4,W
441.17500,446.175,+5.00000,103.5,"San Jose ",CA,Santa Clara,KF6FWO,OPEN,0.4,W
441.27500,446.275,+5.00000,,"San Jose ",CA,Santa Clara,K6BEN,CLOSED,0.4,W
442.30000,447.3,+5.00000,114.8,"San Jose ",CA,Santa Clara,K6INC,OPEN,0.4,W
442.70000,447.7,+5.00000,100.0,"San Jose ",CA,Santa Clara,N6MNV,OPEN,0.4,W
442.77500,447.775,+5.00000,131.8,"San Jose ",CA,Santa Clara,KU6V,OPEN,0.4,W
442.85000,447.85,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6MIA,OPEN,0.4,W
442.87500,447.875,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6YLV,OPEN,0.4,W
442.95000,447.95,+5.00000,85.4,"San Jose ",CA,Santa Clara,K6YZS,OPEN,0.4,W
443.27500,448.275,+5.00000,107.2,"San Jose ",CA,Santa Clara,W6AMT,OPEN,0.4,W
443.30000,448.3,+5.00000,136.5,"San Jose ",CA,Santa Clara,KB5JR,OPEN,0.4,W
443.77500,448.775,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6GFY,OPEN,0.4,W
444.30000,449.3,+5.00000,173.8,"San Jose ",CA,Santa Clara,WB6RNH,OPEN,0.4,W
444.30000,449.3,+5.00000,162.2,"San Jose ",CA,Santa Clara,WB6RNH,OPEN,0.4,W
444.32500,449.325,+5.00000,,"San Jose ",CA,Santa Clara,WA6INC,OPEN,0.4,W
444.45000,449.45,+5.00000,100.0,"San Jose ",CA,Santa Clara,WB6JSO,OPEN,0.4,W
444.75000,449.75,+5.00000,100.0,"San Jose ",CA,Santa Clara,N9JIM,OPEN,0.4,W
444.03750,449.0375,+5.00000,,"San Jose ",CA,Santa Clara,K6HLE,OPEN,0.5,W
442.42500,447.425,+5.00000,107.2,"San Jose Regional Medical Center ",CA,Santa Clara,W6UU,OPEN,2.6,NE
147.03000,147.63,+0.60000,107.2,"San Jose Almaden Valley",CA,Santa Clara,WB6KHP,OPEN,2.9,N
441.65000,446.65,+5.00000,100.0,"Santa Rosa Richmond Heights",CA,Sonoma,K6JSI,OPEN,3.9,WNW
442.02500,447.025,+5.00000,100.0,"Santa Clara ",CA,Santa Clara,K6SNC,OPEN,3.9,WNW
441.02500,446.025,+5.00000,110.9,"Campbell ",CA,Santa Clara,NO1PC,OPEN,4.9,SW
146.98500,146.385,-0.60000,114.8,"San Jose Eagle Rock",CA,Santa Clara,W6UU,OPEN,5.5,NE
442.35000,447.35,+5.00000,100.0,"Milpitas ",CA,Santa Clara,K6GOD,OPEN,6.3,N
145.43000,144.83,-0.60000,85.4,"Milpitas ",CA,Santa Clara,W6MLP,OPEN,6.3,N
443.40000,448.4,+5.00000,,"Milpitas ",CA,Santa Clara,WA6KPX,OPEN,6.5,N
444.70000,449.7,+5.00000,127.3,"San Jose Good Samaritan Hospital",CA,Santa Clara,WB6KHP,OPEN,6.9,SSW
147.39000,147.99,+0.60000,151.4,"San Jose Good Samaritan Hosp",CA,Santa Clara,W6PIY,OPEN,6.9,SSW
440.17500,445.175,+5.00000,131.8,"Fremont Mission Peak",CA,Alameda,K6GOD,CLOSED,7.4,NE
444.72500,449.725,+5.00000,162.2,"Milpitas Mission Peak",CA,Santa Clara,K6GOD,CLOSED,7.4,NE
440.12500,445.125,+5.00000,,"Cupertino ",CA,Santa Clara,W6AMT,OPEN,8.0,W
440.15000,445.15,+5.00000,100.0,"Cupertino ",CA,Santa Clara,W6TDM,OPEN,8.0,W
441.55000,446.55,+5.00000,,"Cupertino ",CA,Santa Clara,W6VB,CLOSED,8.0,W
443.15000,448.15,+5.00000,100.0,"Cupertino ",CA,Santa Clara,K6SA,OPEN,8.0,W
442.35000,447.35,+5.00000,,"Cupertino ",CA,Santa Clara,K6GOD,CLOSED,8.0,W
443.95000,448.95,+5.00000,,"Los Gatos Crystal Peak Site",CA,Santa Clara,AD1U,OPEN,8.2,SSW
145.17000,144.57,-0.60000,94.8,"Sunnyvale ",CA,Santa Clara,K6SNY,OPEN,8.5,WNW
443.90000,448.9,+5.00000,88.5,"Sunnyvale ",CA,Santa Clara,W1NSA,OPEN,8.5,WNW
444.55000,439.55,-5.00000,100.0,"Sunnyvale ",CA,Santa Clara,AF6EQ,OPEN,8.5,WNW
146.65500,146.055,-0.60000,114.8,"Saratoga ",CA,Santa Clara,K6SA,OPEN,9.1,SW
440.65000,445.65,+5.00000,94.8,"Los Gatos ",CA,Santa Clara,KC6TYG,OPEN,9.1,SSW
441.05000,446.05,+5.00000,123.0,"Los Gatos ",CA,Santa Clara,N6UUI,OPEN,9.1,SSW
441.62500,446.625,+5.00000,100.0,"Los Gatos ",CA,Santa Clara,W6RCA,OPEN,9.1,SSW
443.75000,448.75,+5.00000,100.0,"Los Gatos ",CA,Santa Clara,NO1PC,OPEN,9.1,SSW
444.97500,449.975,+5.00000,127.3,"Los Gatos Santa Cruz Mountains",CA,Santa Clara,WB6KHP,OPEN,9.1,SSW
441.95000,446.95,+5.00000,,"Saratoga Saratoga Heights",CA,Santa Clara,KK6USZ,OPEN,9.1,SW
145.25000,144.65,-0.60000,123.0,"Sunnyvale Moffett Field",CA,Santa Clara,NA6MF,OPEN,10.7,WNW
145.19000,144.59,-0.60000,151.4,"San Jose Santa Teresa foothills",CA,Santa Clara,WA2IBM,OPEN,10.8,SE
440.80000,445.8,+5.00000,100.0,"Mountain View El Camino Hospital ",CA,Santa Clara,W6ASH,OPEN,10.9,WNW
145.27000,144.67,-0.60000,100.0,"Mountain View El Camino Hospital",CA,Santa Clara,W6ASH,OPEN,10.9,WNW
440.12500,445.125,+5.00000,,"Fremont Mt Allison",CA,Alameda,W6TCP,OPEN,11.1,N
443.72500,448.725,+5.00000,127.3,"Fremont Mt Allison",CA,Alameda,N6HWI,OPEN,11.2,N
441.30000,446.3,+5.00000,110.9,"Fremont Mt Allison",CA,Alameda,WB6ECE,OPEN,11.2,N
440.87500,445.875,+5.00000,100.0,"Los Altos ",CA,Santa Clara,KH6N,OPEN,12.0,W
147.15000,147.75,+0.60000,110.9,"San Jose Mt Umunhum",CA,Santa Clara,WA6YCZ,OPEN,12.3,S
441.30000,446.3,+5.00000,146.2,"San Jose Mt Umunhum",CA,Santa Clara,WB6ECE,OPEN,12.3,S
444.40000,449.4,+5.00000,100.0,"San Jose Mt Umunhum",CA,Santa Clara,WA6YCZ,CLOSED,12.3,S
442.53750,447.5375,+5.00000,,"San Jose Mount Umunhum",CA,Santa Clara,WA6YCZ,OPEN,12.3,S
443.47500,448.475,+5.00000,123.0,"San Jose Mt Umunhum ",CA,Santa Clara,K6LNK,OPEN,12.6,S
444.07500,449.075,+5.00000,,"Palo Alto Black Mountain",CA,Santa Clara,WW6BAY,OPEN,13.7,W
145.45000,144.85,-0.60000,100.0,"Los Gatos Castle Rock",CA,Santa Clara,K6FB,OPEN,13.8,WSW
444.90000,449.9,+5.00000,110.9,"San Jose Santa Cruz Mountains",CA,Santa Clara,KU6V,OPEN,13.8,S
146.74500,146.145,-0.60000,110.9,"Los Altos Hills ",CA,Santa Clara,W6LAH,OPEN,14.0,WNW
444.22500,449.225,+5.00000,131.8,"Los Altos Hills ",CA,Santa Clara,KE6JTK,OPEN,14.0,WNW
146.94000,146.34,-0.60000,123.0,"Los Altos Hills ",CA,Santa Clara,K6AIR,OPEN,14.1,WNW
442.12500,447.125,+5.00000,162.2,"Palo Alto Black Mountain",CA,Santa Clara,W6PMI,CLOSED,14.2,W
442.57500,447.575,+5.00000,100.0,"Palo Alto Black Mountain",CA,Santa Clara,K6FB,OPEN,14.3,W
441.10000,446.1,+5.00000,203.5,"Palo Alto Black Mountain",CA,Santa Clara,K6GOD,CLOSED,14.4,W
444.42500,449.425,+5.00000,127.3,"Palo Alto Black Mtn",CA,Santa Clara,WW6BAY,OPEN,14.4,W
441.85000,446.85,+5.00000,,"Palo Alto Black Mountain",CA,Santa Clara,K6OTR,OPEN,14.4,W
147.36000,147.96,+0.60000,110.9,"Palo Alto Black Mountain",CA,Santa Clara,W6TI,OPEN,14.5,W
444.35000,449.35,+5.00000,,"Palo Alto Black Mountain",CA,Santa Clara,WW6BAY,OPEN,14.5,W
443.22500,448.225,+5.00000,100.0,"Palo Alto Black Mountain",CA,Santa Clara,WW6BAY,OPEN,14.5,W
145.39000,144.79,-0.60000,100.0,"Palo Alto Black Mountain",CA,Santa Clara,WW6BAY,OPEN,14.5,W
441.12500,446.125,+5.00000,100.0,"Fremont ",CA,Alameda,KC6WXO,OPEN,15.6,NNW
442.60000,447.6,+5.00000,107.2,"Fremont ",CA,Alameda,WA6PWW,OPEN,15.6,NNW
147.01500,147.615,+0.60000,103.5,"Fremont ",CA,Alameda,WA6PWW,OPEN,15.6,NNW
442.55000,447.55,+5.00000,,"Fremont Mt Allison",CA,Santa Clara,WA6FUL,CLOSED,15.6,NNW
440.90000,445.9,+5.00000,141.3,"Fremont ",CA,Alameda,KI6KGN,OPEN,15.6,NNW
441.52500,446.525,+5.00000,123.0,"Los Altos Hills  ",CA,Santa Clara,K6AIR,OPEN,15.6,W
444.15000,449.15,+5.00000,103.5,"Newark ",CA,Alameda,N3EL,OPEN,15.7,NNW
147.97500,147.375,-0.60000,123.0,"Newark ",CA,Alameda,KB6LED,OPEN,15.7,NNW
443.55000,448.55,+5.00000,,"San Jose Crystal Peak",CA,Santa Clara,WB6FRM,PRIVATE,15.8,S
442.50000,447.5,+5.00000,100.0,"San Jose Crystal Peak",CA,Santa Clara,W6GGF,OPEN,15.8,S
440.47500,445.475,+5.00000,,"Morgan Hill Crystal Peak",CA,Santa Cruz,K6GOD,CLOSED,15.8,S
442.17500,447.175,+5.00000,100.0,"Campbell Crystal Peak",CA,Santa Clara,NO1PC,OPEN,15.8,S
440.03750,445.0375,+5.00000,,"Morgan Hill Loma Prieta",CA,Santa Clara,W6YYY,OPEN,15.9,S
146.64000,146.04,-0.60000,162.2,"San Jose Loma Prieta",CA,Santa Clara,WR6ABD,OPEN,15.9,S
146.76000,146.16,-0.60000,151.4,"San Jose Loma Prieta",CA,Santa Clara,WB6OQS,OPEN,15.9,S
442.90000,447.9,+5.00000,162.2,"San Jose Loma Prieta",CA,Santa Clara,K6JSI,OPEN,15.9,S
444.02500,449.025,+5.00000,,"San Jose Loma Prieta",CA,Santa Clara,K6HLE,OPEN,15.9,S
442.55000,447.55,+5.00000,,"Santa Cruz  Near Loma Prieta ",CA,Santa Cruz,WA6FUL,CLOSED,15.9,S
444.60000,449.6,+5.00000,123.0,"San Jose Loma Prieta",CA,Santa Clara,N6SPD,OPEN,16.0,S
442.80000,447.8,+5.00000,114.8,"Palo Alto ",CA,Santa Clara,K6OTR,OPEN,16.0,WNW
145.23000,144.63,-0.60000,100.0,"Palo Alto ",CA,Santa Clara,N6NFI,OPEN,16.0,WNW
444.95000,449.95,+5.00000,162.2,"Palo Alto ",CA,Santa Clara,KB6LED,OPEN,16.0,WNW
440.20000,445.2,+5.00000,123.0,"Palo Alto ",CA,Santa Clara,N6BDE,OPEN,16.0,WNW
442.00000,447,+5.00000,151.4,"Palo Alto ",CA,Santa Clara,WW6HP,OPEN,16.0,WNW
443.22500,448.225,+5.00000,,"Palo Alto ",CA,Santa Clara,KJ6K,CLOSED,16.0,WNW
442.45000,447.45,+5.00000,,"Palo Alto ",CA,Alameda,KJ6VU,CLOSED,16.0,WNW
440.52500,445.525,+5.00000,110.9,"Newark City by the bay",CA,Alameda,N6MM,OPEN,16.3,NNW
443.00000,448,+5.00000,,"Palo Alto ",CA,Santa Clara,W6OOL,CLOSED,16.9,WNW
443.50000,448.5,+5.00000,114.8,"Morgan hill Uvas Canyon",CA,Santa Clara,KJ6VRC,OPEN,17.5,SSE
443.51250,448.5125,+5.00000,,"Sunol ",CA,Alameda,W6SRR,OPEN,17.7,N
147.30000,147.9,+0.60000,107.2,"Morgan Hill Uvas Canyon",CA,Santa Clara,KJ6VRC,OPEN,18.2,SSE
147.33000,147.93,+0.60000,103.5,"Morgan Hill ",CA,Santa Clara,K7DAA,OPEN,18.9,SE
440.57500,445.575,+5.00000,114.8,"Morgan Hill ",CA,Santa Clara,KA6ZRJ,OPEN,19.2,SE
147.82500,147.225,-0.60000,100.0,"Morgan Hill ",CA,Santa Clara,W6GGF,OPEN,19.2,SE
440.97500,445.975,+5.00000,114.8,"Portola Valley ",CA,San Mateo,KC6ULT,OPEN,19.4,W
146.08500,146.685,+0.60000,110.9,"Portola Valley ",CA,San Mateo,KM6DLG,OPEN,19.4,W
442.62500,447.625,+5.00000,94.8,"Pleasanton ",CA,Alameda,W6SRR,OPEN,19.6,N
147.04500,147.645,+0.60000,94.8,"Pleasanton ",CA,Alameda,W6SRR,OPEN,19.6,N
